GSM146778 = Value for GSM146778: Stage 1, PT2, Normal (HG-U133A); src: Human Renal Epithelium
GSM146780 = Value for GSM146780: Stage 1, PT3, Normal (HG-U133A); src: Human Renal Epithelium
GSM146782 = Value for GSM146782: Stage 1, PT4, Normal (HG-U133A); src: Human Renal Epithelium
GSM146784 = Value for GSM146784: Stage 1, PT5, Normal (HG-U133A); src: Human Renal Epithelium
GSM146786 = Value for GSM146786: Stage 1, PT6, Normal (HG-U133A); src: Human Renal Epithelium
GSM146789 = Value for GSM146789: Stage 2, PT8, Normal (HG-U133A); src: Human Renal Epithelium
GSM146790 = Value for GSM146790: Stage 2, PT9, Normal (HG-U133A); src: Human Renal Epithelium
GSM146792 = Value for GSM146792: Stage 2, PT10, Normal (HG-U133A); src: Human Renal Epithelium
GSM146794 = Value for GSM146794: Stage 2, PT11, Normal (HG-U133A); src: Human Renal Epithelium
GSM146798 = Value for GSM146798: Stage 2, PT1, Normal (HG-U133A); src: Human Renal Epithelium
GSM146796 = Value for GSM146796: Stage 2, PT12, Normal (HG-U133A); src: Human Renal Epithelium
GSM146779 = Value for GSM146779: Stage 1, PT2, Tumor (HG-U133A); src: Human Renal Epithelium
GSM146781 = Value for GSM146781: Stage 1, PT3, Tumor (HG-U133A); src: Human Renal Epithelium
GSM146783 = Value for GSM146783: Stage 1, PT4, Tumor (HG-U133A); src: Human Renal Epithelium
GSM146785 = Value for GSM146785: Stage 1, PT5, Tumor (HG-U133A); src: Human Renal Epithelium
GSM146787 = Value for GSM146787: Stage 1, PT6, Tumor (HG-U133A); src: Human Renal Epithelium
GSM146788 = Value for GSM146788: Stage 2, PT8, Tumor (HG-U133A); src: Human Renal Epithelium
GSM146791 = Value for GSM146791: Stage 2, PT9, Tumor (HG-U133A); src: Human Renal Epithelium
GSM146799 = Value for GSM146799: Stage 2, PT1, Tumor (HG-U133A); src: Human Renal Epithelium
GSM146793 = Value for GSM146793: Stage 2, PT10, Tumor (HG-U133A); src: Human Renal Epithelium
GSM146795 = Value for GSM146795: Stage 2, PT11, Tumor (HG-U133A); src: Human Renal Epithelium
GSM146797 = Value for GSM146797: Stage 2, PT12, Tumor (HG-U133A); src: Human Renal Epithelium
