GSM146778	GSM146780	GSM146782	GSM146784	GSM146786	GSM146789	GSM146790	GSM146792	GSM146794	GSM146798	GSM146796	GSM146779	GSM146781	GSM146783	GSM146785	GSM146787	GSM146788	GSM146791	GSM146799	GSM146793	GSM146795	GSM146797
1007_s_at	1942.1	2358.3	2465.2	2732.9	1952.2	2048.3	2109	3005.1	2568.1	9898.34069121213	2107.7	1940.2	2608.8	1837.2	1559.2	2111.6	2641	1972.7	10191.6713947012	1737.2	1636.1	2718.4
1053_at	40.1	58.2	132.6	64.3	66.1	69	109.7	59.4	81.7	134.278622164788	100.8	170.1	186.7	103.8	86.8	86	152.7	124.8	213.483548572135	115	202.1	257.3
117_at	72.1	248.8	85.5	129.5	161.2	148.9	157	182	143.9	250.889424481655	160.4	104.2	252	262.8	204.4	217.1	291.5	182.8	264.53753958106	117.5	393.1	254.6
121_at	4693.6	7098.2	6314.1	5038	6012.4	6472.8	6940.4	10609.7	6942.7	8088.44906272538	6864.9	3597	3143.7	2253.3	2835.4	3746.1	4563.5	4245.3	8672.76478107453	2875.1	3443	4103.6
1255_g_at	35.9	97.3	22.4	23	85.1	9.6	45.1	110.3	34.2	15.5464877630647	91.2	55.7	19.1	53	25.6	50.3	12.2	50.3	73.0361039702312	47.4	66.3	97.8
1294_at	546.8	479.8	426.3	591	402.6	524.6	444.5	469.6	495.9	500.768575676875	334.4	678.5	503.6	615.4	364.9	418.4	495.9	274.9	424.307342524535	457.5	447.5	395.9
1316_at	213.3	254.5	341.1	265.1	248.5	215.7	192.9	220.3	226.4	900.625721429576	243.2	171.6	178.2	233	192.2	203	153.1	154.8	805.427453239524	130.2	161.1	208.8
1320_at	89.4	97.9	60.7	117.1	76.5	103.8	136	64.3	29.5	83.7761421784014	95	110.1	21.1	38.4	97.4	36.2	30.6	47.7	109.764502276133	15.3	64	36.6
1405_i_at	153.5	24.6	49.1	87.2	129.5	31.3	76.5	28.4	13.1	44.843332473048	23.8	2681.7	352.5	833.3	315.3	323.1	1421.9	248	109.601116108248	188.8	629.8	535.4
1431_at	62.7	59.7	103.4	118.3	86.6	50.7	69.1	99.5	53.5	108.815505557261	67.6	77	64.3	60.7	79.8	53.7	36.4	61.2	148.306734398555	85.7	85.4	68
1438_at	39.3	144.9	175.4	171.1	136.9	40.5	54.5	371.3	109.3	90.3744750053739	44.8	29.9	104	145.4	115.1	169	151.8	79.5	121.615034266491	36.9	115.8	132
1487_at	1100.5	1265.2	1148.1	1252.2	1254.8	1364.1	1386.6	1341.8	1257.3	4167.13297622139	1356.6	689.6	462.8	595.6	675	606.7	855.7	579.6	4235.86730065874	688.8	613.2	615.6
1494_f_at	220.1	342.3	278.5	401.9	421	367.1	333.2	336.6	298.9	624.490557835215	254.2	261.2	314.8	267.1	188.9	192.4	347.6	226.6	566.821721249506	226.4	258.2	361.1
