UID	DLCL-0001	DLCL-0002	DLCL-0003	DLCL-0004	DLCL-0005	DLCL-0006	DLCL-0007	DLCL-0008	DLCL-0009	DLCL-0010	DLCL-0011	DLCL-0012	DLCL-0013	DLCL-0014	DLCL-0015	DLCL-0016	DLCL-0017	DLCL-0018	DLCL-0020	DLCL-0021	DLCL-0023	DLCL-0024	DLCL-0025	DLCL-0026	DLCL-0027	DLCL-0028	DLCL-0029	DLCL-0030	DLCL-0031	DLCL-0032	DLCL-0033	DLCL-0034	DLCL-0036	DLCL-0037	DLCL-0039	DLCL-0040	DLCL-0041	DLCL-0042	DLCL-0048	DLCL-0049
1	1.042	0.419	1.285	0.883	-0.056	0.603	2.052	0.884	0.508	0.748	1.048	0.842	-0.175	0.217	-0.702	-0.109	NA	0.633	0.918	0.895	0.608	0.303	0.884	0.52	0.19	NA	1.068	1.02	1.515	0.456	0.657	0.585	NA	NA	NA	NA	NA	1.049	1.248	1.253
2	-0.097	-0.072	0.563	0.151	-1.524	0.034	1.029	0.17	-0.48	-0.071	0.071	0.141	-0.082	0.19	-0.646	-0.029	NA	0.227	0.031	0.094	0.18	-0.357	-0.091	-0.282	-0.313	NA	0.163	0.134	0.708	0.26	-0.036	0.074	NA	NA	NA	NA	NA	0.131	0.693	-0.01
3	0.339	-0.337	-0.372	-0.054	-1.371	0.123	0.403	-0.068	0.734	0.528	0.691	0.49	0.757	0.34	0.391	0.134	NA	0.212	0.814	NA	0.407	0.523	1.138	-0.247	0.142	NA	0.691	0.428	0.598	1.112	-0.323	0.365	NA	NA	NA	NA	NA	0.522	0.423	0.881
4	0.028	0.069	0.209	-0.225	-0.518	0.087	-0.737	0.307	0.222	0.01	0.332	0.245	0.398	0.82	0.63	0.371	NA	0.325	0.039	0.113	0.43	0.551	0.046	0.709	0.1	NA	-0.032	-0.162	-0.29	0.276	-1.639	-0.033	NA	NA	NA	NA	NA	-0.883	0.167	0.29
5	0.977	-0.979	-0.491	-0.185	0.309	-0.478	1.053	0.132	0.228	0.23	-0.751	0.329	-0.457	-0.916	0.408	-0.098	NA	0.556	-0.003	-3.129	0	-0.014	1	-0.129	-0.045	NA	0.076	-0.144	0.018	-0.43	0.368	-0.065	NA	NA	NA	NA	NA	0.492	-0.272	-0.245
6	0.061	-0.02	0.319	-0.053	1.032	0.516	-0.155	0.305	-0.525	0.208	0.646	0.361	0.715	1.234	0.653	0.511	NA	0.668	0.307	-0.61	0.722	0.452	0.079	0.964	-0.243	NA	0.01	0.258	-0.092	0.179	-0.637	0.173	NA	NA	NA	NA	NA	-0.796	0.22	0.645
7	0.502	-0.822	-0.21	0.081	0.19	0.089	0.014	0.252	0.642	-0.026	-0.149	0.309	0.78	-0.62	0.578	0.392	NA	0.504	0.577	-0.267	0.129	0.375	0.785	0.222	0.343	NA	-0.398	0.249	0.187	-0.102	0.521	0.246	NA	NA	NA	NA	NA	0.185	0.317	0.669
8	0.265	-0.257	0.738	-0.415	0.201	-0.359	0.335	0.335	-0.516	-0.502	-0.714	-0.115	-0.23	0.149	0.271	-0.466	NA	-0.001	-0.72	0.111	0.018	0.028	-0.071	-0.447	0.323	NA	-0.49	-0.204	-0.111	-0.136	-0.55	-0.331	NA	NA	NA	NA	NA	-0.831	0.006	0.417
9	-0.567	-0.487	0.158	-1.215	0.406	-0.648	-1.313	-0.76	-0.245	-0.317	-0.79	0.013	-0.19	0.612	0.759	-0.752	NA	-0.682	-0.291	-0.024	0.876	0.295	0.082	0.177	1.395	NA	-1.059	-0.442	-0.141	-0.708	-0.019	-0.378	NA	NA	NA	NA	NA	-0.879	0.583	0.164
10	0.64	-0.108	0.48	0.243	0.496	0.143	0.346	0.194	0.133	-0.378	0.48	0.518	1.088	0.891	0.29	0.37	NA	0.85	-0.022	0.626	0.295	-0.415	0.675	0.543	0.732	NA	0.467	0.649	0.307	0.943	-1.134	-0.03	NA	NA	NA	NA	NA	-0.563	-0.787	1.217
11	0.487	0.094	-0.62	0.073	0.686	0.087	0.193	0.085	0.749	-0.095	0.205	0.177	0.823	0.144	0.532	0.054	NA	0.358	0.277	-0.193	0.732	0.899	0.628	0.951	1.024	NA	0.377	0.217	0.359	-0.04	-0.324	-0.375	NA	NA	NA	NA	NA	0.228	0.434	1.015
12	-0.71	-0.799	-0.486	-0.636	-0.278	-1.067	-0.317	0.358	-1.742	-1.19	-1.692	-0.451	-0.455	-0.754	-0.895	-0.893	NA	-0.406	-1.075	-0.384	-1.382	-0.559	-0.245	-0.075	-1.268	NA	-0.396	-0.471	-0.526	-0.123	-0.978	-0.674	NA	NA	NA	NA	NA	-0.62	-1.068	-1.035
14	0.247	0.22	0.111	0.017	0.717	0.157	-0.008	0.258	0.091	0.266	0.709	0.434	0.805	0.841	0.234	0.458	NA	0.935	0.37	1.425	0.312	0.111	0.178	0.296	0.5	NA	-0.097	0.118	0.49	0.163	0.053	-0.147	NA	NA	NA	NA	NA	-3.262	-0.803	0.172
16	0.511	0.016	0.143	-0.225	0.487	-0.334	-0.648	-0.122	0.268	-0.127	0	0.2	0.472	0	0.585	0.417	NA	0.239	-0.162	-0.286	-0.152	0.203	-0.205	1.148	0.252	NA	-0.097	-0.082	-0.116	0.193	-0.096	-0.351	NA	NA	NA	NA	NA	-1.44	-0.049	0.322
18	0.263	-0.728	-0.385	-0.436	0.575	-0.018	-1.034	0.888	0.711	0.154	-0.259	0.841	-0.437	0.393	0.275	-0.485	NA	0.216	0.24	-0.068	0.374	0.916	0.576	1.709	0.848	NA	-0.257	-0.068	-0.444	0.11	0.238	0.571	NA	NA	NA	NA	NA	-1.018	0.286	0.908
20	0.096	-0.688	-0.238	0.652	0.522	-0.096	-0.402	0.526	0.368	0.285	0.83	0.717	-0.746	-0.434	-0.248	-0.017	NA	0.223	-0.296	1.021	-0.606	-0.218	-0.057	0.141	-0.432	NA	1.287	1.189	0.765	-0.022	-0.165	-0.41	NA	NA	NA	NA	NA	-0.681	-1.684	1.126
