class	sample
1	DLCL.0012
1	DLCL.0024
1	DLCL.0003
1	DLCL.0026
1	DLCL.0023
1	DLCL.0015
1	DLCL.0010
1	DLCL.0030
1	DLCL.0034
1	DLCL.0018
1	DLCL.0032
1	DLCL.0037
1	DLCL.0001
1	DLCL.0008
1	DLCL.0004
1	DLCL.0029
1	DLCL.0009
1	DLCL.0020
1	DLCL.0033
2	DLCL.0005
2	DLCL.0011
2	DLCL.0048
2	DLCL.0027
2	DLCL.0013
2	DLCL.0007
2	DLCL.0028
2	DLCL.0025
2	DLCL.0021
2	DLCL.0016
2	DLCL.0002
2	DLCL.0017
2	DLCL.0040
2	DLCL.0014
2	DLCL.0031
2	DLCL.0039
2	DLCL.0042
2	DLCL.0041
2	DLCL.0049
2	DLCL.0006
