row.names	control.diet.19300	control.diet.19301	control.diet.19302	control.diet.19303	control.diet.19304	control.diet.19305	ketogenic.diet.19306	ketogenic.diet.19307	ketogenic.diet.19308	ketogenic.diet.19309	ketogenic.diet.19310
AFFX-BioB-5_at	76.4424	86.0648	80.6466	93.8439	73.1219	97.6946	82.4622	77.2199	120.204	98.9692	88.2618
AFFX-BioB-M_at	94.7098	73.4476	88.6791	111.553	92.1317	96.425	131.282	114.903	156.729	117.205	119.647
AFFX-BioB-3_at	27.8835	44.5481	33.8824	60.025	39.2463	37.6365	42.7933	50.0889	78.2358	47.8521	36.9666
AFFX-BioC-5_at	174.339	151.824	167.429	200.478	170.728	196.796	192.089	206.339	236.037	202.817	185.801
AFFX-BioC-3_at	87.0285	94.0345	120.283	114.58	100.192	88.3586	122.353	130.968	157.438	110.388	117.713
AFFX-BioDn-5_at	150.118	135.467	163.384	170.9	155.797	145.506	156.861	163.547	210.043	183.835	172.966
AFFX-BioDn-3_at	1048.15	1107.15	1191.66	1259.05	1167.02	1141.59	1147.35	1178.65	1638.05	1052.43	1130.67
AFFX-CreX-5_at	2013.27	1695.98	1883	2133.34	1776.23	1623.41	1959.02	1981.27	2614.12	2071.13	1929.8
AFFX-CreX-3_at	2576.23	2839.48	2981.46	2871.69	2629.59	2309.79	2527.59	2559.14	3753.72	2444.14	2632.43
AFFX-DapX-5_at	11.3289	13.0519	11.2971	11.3176	16.4377	12.3847	11.1433	7.87756	7.52574	10.4278	10.6122
AFFX-DapX-M_at	10.8611	17.4665	15.3032	14.4597	15.1507	18.852	13.7036	15.352	11.0816	10.3156	19.0189
AFFX-DapX-3_at	6.34135	2.54595	2.7323	1.87611	1.76146	21.4503	17.0415	1.69529	2.1858	1.5514	2.83113
AFFX-LysX-5_at	0.780791	0.951912	2.76304	2.63258	0.579594	2.65674	5.39016	0.532916	2.42453	0.511642	1.15445
AFFX-LysX-M_at	20.6776	13.2013	24.3848	17.1596	26.2085	12.0218	8.60789	2.60286	15.5757	14.6733	20.2403
AFFX-LysX-3_at	9.53088	2.20359	7.24831	10.1102	8.90462	1.33018	14.053	1.52691	10.4451	4.02946	11.0832
AFFX-PheX-5_at	2.92536	2.75264	8.433	2.3573	2.62302	2.41524	2.603	1.85642	4.61089	1.59296	2.80698
AFFX-PheX-M_at	2.19409	1.6514	1.57366	2.01879	1.28541	1.45969	1.46199	1.19246	2.02768	0.620525	2.06
AFFX-PheX-3_at	5.99568	18.1854	6.36567	6.41387	13.367	5.16685	5.95105	3.51165	6.38402	3.90518	5.61634
