Fragment.ID	GSM27015.26.M	GSM27016.26.M	GSM27018.29.M	GSM27021.37.M	GSM27023.40.M	GSM27024.42.M	GSM27025.45.M	GSM27027.52.M	GSM27028.53.M	GSM27031.66.M	GSM27032.70.M	GSM27034.73.M	GSM27035.77.M	GSM27036.80.M	GSM27038.85.M	GSM27040.90.M	GSM27042.91.M	GSM27043.95.M	GSM27017.27.F	GSM27019.30.F	GSM27020.36.F	GSM27022.38.F	GSM27026.48.F	GSM27029.56.F	GSM27030.61.F	GSM27033.71.F	GSM27037.81.F	GSM27039.87.F	GSM27041.90.F	GSM27044.106.F
31307_at	179.863	106.495	265.586	301.243	218.509	224.61	256.059	137.923	139.18	50.7749	260.516	226.349	173.981	192.717	141.146	229.212	251.251	378.724	323.943	193.13	196.163	183.352	127.516	154.187	188.301	152.121	139.103	199.679	114.844	217.967
31308_at	559.078	411.483	481.176	570.733	333.539	370.079	558.027	310.957	404.723	426.272	478.309	447.678	479.229	445.577	505.116	379.036	437.748	339.758	295.531	457.517	446.205	391.721	238.424	511.793	300.55	468.053	463.434	525.637	373.783	385.111
31309_r_at	20.7697	30.6415	50.2153	42.6892	27.1059	21.5762	10.6286	47.6724	11.073	39.8862	15.7331	47.437	7.34582	42.8014	26.7969	24.2459	48.923	53.0538	42.7983	33.8314	33.8327	32.3855	23.8202	18.0976	27.0145	13.8967	14.9957	19.525	43.4167	55.4229
31310_at	154.191	224.446	188.823	177.863	233.463	120.908	217.807	66.0645	205.01	126.19	196.949	157.376	195.442	339.754	161.691	157.224	273.1	345.575	167.691	223.641	164.895	152.432	183.83	233.127	98.738	230.406	68.8964	245.693	447.836	246.605
31311_at	956.797	648.31	933.656	1016.41	762.013	1040.29	1058.2	695.947	1185.67	658.611	881.603	658.25	870.225	812.734	849.223	922.916	767.145	516.244	643.629	821.743	789.456	831.777	1703.31	859.293	820.126	1128.44	854.66	755.398	899.791	790.31
31312_at	186.58	150.022	262.369	203.977	169.422	202.936	130.023	147.849	251.141	167.474	216.28	215.451	132.631	177.455	105.26	169.566	204.4	292.028	302.332	183.804	219.073	169.724	147.83	154.639	259.217	147.988	137.767	186.157	101.325	293.475
31313_at	1235.87	816.348	1268.15	1449.48	1326.96	732.734	1086.65	982.933	1089.14	1213.07	1026.5	1371.33	934.744	1378.7	1101.04	840.231	1367.15	1305.57	1284.04	1258.77	1288.82	1112.23	1008.82	1007.32	720.617	1080.71	877.103	1253.83	1036.76	1077.02
31314_at	142.319	72.8315	162.791	183.034	133.388	181.58	197.133	134.423	125.379	129.36	143.267	185.598	107.11	153.952	132.667	155.577	163.392	86.8294	99.6155	51.7372	113.953	127.132	248.927	152.021	107.255	147.463	80.4824	141.624	198.333	188.943
31315_at	132.018	80.784	202.047	159.13	158.564	153.106	153.82	117.742	112.396	143.177	187.953	232.951	95.8516	176.007	86.378	170.249	214.7	137.882	243.918	104.185	92.9031	102.995	188.353	134.684	136.621	104.812	101.167	108.794	149.297	258.597
31316_at	2.1131	8.2222	17.6677	12.2486	6.99706	43.0913	9.98275	26.4804	9.52082	0.001	29.4143	3.82153	14.4266	4.72072	10.303	18.0566	10.9015	5.5773	8.64094	14.5979	26.7557	31.0937	26.9711	14.973	32.7564	10.2384	15.0394	22.7628	11.126	14.4781
31317_r_at	1185.08	1069.44	1357.49	1387.61	1356.71	1433.19	1140.39	1329.33	1034.81	1133.73	1459.92	1546.67	1284.61	1170.53	1171.73	1271.57	1091.68	1818.88	1913.6	1077.1	1075.8	1159.99	1620.39	1233.63	1346.25	1010.37	1170.74	1252.24	1653.32	1323.73
31318_at	1.24984	6.54817	4.86295	0.001	7.73228	0.001	0.001	0.001	0.001	0.001	3.16686	0.001	0.001	2.57954	0.001	0.001	0.001	0.001	0.001	7.34079	0.72184	3.33724	0.001	0.001	1.66358	0.001	5.57182	4.35032	0.001	0.001
31319_at	217.491	192.548	172.43	186.858	157.26	141.752	160.866	107.735	200.052	139.273	191.017	124.208	156.551	156.95	121.427	150.293	183.602	89.0636	109.182	175.183	147.602	150.868	184.957	183.666	124.667	146.453	141.784	164.475	155.037	151.12
31320_at	439.461	417.593	572.972	405.782	339.781	410.243	473.338	318.174	390.52	351.703	542.516	331.03	425.18	258.341	562.42	394.071	306.398	200.707	281.98	320.172	489.229	366.128	599.055	413.529	488.562	301.587	377.775	383.317	671.586	481.915
31321_at	216.306	179.932	233.636	255.415	245.608	217.523	221.285	204.446	228.176	216.273	240.613	299.243	171.17	256.863	194.379	140.429	221.929	192.367	205.202	200.067	199.096	193.07	167.189	196.834	181.058	204.807	172.145	245.118	260.871	274.074
31322_at	35.1214	42.7893	26.6272	20.6384	16.551	28.5122	33.8762	20.4457	29.5858	12.2095	29.107	18.7673	33.8082	30.6271	12.0268	13.9551	10.3318	35.206	14.3847	20.0363	25.1313	0.001	29.1936	21.8041	62.9243	24.8646	14.9097	24.584	38.5419	24.5043
31323_r_at	302.545	259.865	285.22	351.547	307.625	273.804	292.551	222.856	433.563	298.939	310.244	180.508	274.589	354.759	185.689	311.685	354.258	238.705	268.521	387.13	270.055	371.988	181.14	290.214	256.843	349.697	255.317	158.522	162.958	147.031
