probe	GSM65752	GSM65753	GSM65754	GSM65755	GSM65756	GSM65757	GSM65758	GSM65760	GSM65761	GSM65762	GSM65763	GSM65764	GSM65765	GSM65766	GSM65767	GSM65768	GSM65769	GSM65770	GSM65771	GSM65772	GSM65773	GSM65774	GSM65775	GSM65776	GSM65779	GSM65780	GSM65781	GSM65782	GSM65783	GSM65784	GSM65785	GSM65786	GSM65787	GSM65788	GSM65789	GSM65790	GSM65791	GSM65792	GSM65793	GSM65794	GSM65795	GSM65796	GSM65797	GSM65798	GSM65799	GSM65800	GSM65801	GSM65802	GSM65803	GSM65804	GSM65805	GSM65806	GSM65807	GSM65808	GSM65810	GSM65811	GSM65812	GSM65813	GSM65814	GSM65815	GSM65816	GSM65817	GSM65818	GSM65819	GSM65820	GSM65821	GSM65822	GSM65823	GSM65824	GSM65825	GSM65826	GSM65827	GSM65828	GSM65829	GSM65830	GSM65831	GSM65832	GSM65833	GSM65834	GSM65835	GSM65836	GSM65837	GSM65838	GSM65839	GSM65840	GSM65841	GSM65842	GSM65843	GSM65844	GSM65845	GSM65846	GSM65847	GSM65848	GSM65849	GSM65850	GSM65851	GSM65852	GSM65853	GSM65854	GSM65855	GSM65856	GSM65857	GSM65858	GSM65859	GSM65860	GSM65861	GSM65862	GSM65863	GSM65864	GSM65865	GSM65866	GSM65867	GSM65868	GSM65869	GSM65870	GSM65871	GSM65872	GSM65873	GSM65874	GSM65875	GSM65876	GSM65877	GSM65878	GSM65879	GSM65880
160020_at	7.127041743	9.100650643	8.203143588	5.87062753	6.812588397	8.08514553	8.29381551	5.909595092	5.681155286	9.480939002	8.371546892	9.516220471	8.245924126	8.644868176	8.120205153	8.231658644	8.033867672	7.711177864	9.022716719	7.119111364	6.528757947	6.857606424	7.779014961	8.830330071	8.5102805	8.256987738	6.801546951	7.880264565	7.917775614	6.337464503	9.020983638	6.825657069	7.818748381	8.068011232	7.407713995	8.988034224	8.230169102	7.635828453	7.890230712	5.979434953	7.984037562	8.309032206	9.380480438	7.487749252	7.52913646	9.75483475	7.90226565	6.115297864	8.722333686	7.736976479	8.615979449	6.387783956	7.752177663	7.788341617	8.051734093	8.316979822	7.246636903	7.198145296	8.467209647	7.177985576	7.082743909	6.882444806	7.768722747	6.167115104	5.330162995	5.583011181	5.294315476	5.559391309	5.446690258	4.225444224	6.009052653	5.82705757	5.349911341	4.858067247	5.441666811	5.263510279	6.513543217	5.312928292	4.806524144	5.264719218	6.452672831	3.553216806	5.30897802	6.565342633	6.688450538	6.100402899	6.131141159	6.0857091	6.192932177	6.225261248	6.074409619	5.867829987	5.945477551	5.238206005	5.346330307	5.320685028	4.607676079	7.290497759	5.897952079	5.329988388	4.716551851	6.228811131	6.353189015	6.319914312	5.388501008	6.803572592	5.299089995	5.403713505	5.70574717	5.79802017	5.112201428	5.832905704	5.293795897	5.366202076	5.479537961	5.302504564	5.610217023	5.334782413	5.453560792	3.772387953	5.303981683	5.700977379	6.151776238	5.534651301	5.311369132
200616_s_at	9.900457218	9.472446354	9.991548612	9.560797853	9.453957107	10.34530709	10.94746631	9.082748086	10.78752215	9.617904453	10.4211547	9.4085195	10.12103157	10.54777726	10.99445985	10.49358348	8.814009167	8.57492687	10.67870821	9.81028922	8.994529271	10.45492175	8.599527123	8.584614284	9.300682861	11.08669316	8.018303946	11.16800657	9.660540444	10.1447452	10.91755483	9.936215438	9.781399083	10.78963751	9.668978327	8.181881835	9.317534856	9.719524732	10.677062	10.25236614	10.25210565	10.56516038	11.25575275	11.16596863	10.59010115	10.0804738	10.85323446	9.836457681	11.21016284	10.79585088	10.57800283	9.52042055	8.633368261	9.690016553	10.46216439	10.08394436	8.280060161	10.47983711	10.33925263	10.7143075	10.21922215	8.791932877	9.628977386	9.210866092	8.112195108	8.118626118	6.738064292	7.517329489	7.567199301	7.905551727	7.538734756	8.956796321	8.172377755	6.96986361	8.138991586	9.42063709	9.279276352	7.304441052	9.532449865	7.673764399	6.799957281	8.505826941	7.906421011	9.233980828	9.922303471	7.495615458	7.817342782	8.990262857	7.835176871	9.618565152	8.376149504	8.702616246	9.494267695	7.608893132	7.758705551	8.791167189	8.582104046	9.113793389	7.690339698	7.162171541	7.440816605	8.13949779	7.68444829	7.838530164	8.627343401	7.66183916	6.776158061	8.299345951	7.191298288	7.151177226	8.257702564	8.620128249	8.232577031	7.515287961	7.064910791	4.983138066	8.013413602	6.621605907	6.465910847	6.808675228	8.631659181	6.425143031	6.915545612	6.345978708	9.13384776
200702_s_at	9.927486496	9.071813039	9.621632478	9.866459042	9.845790929	9.104894702	9.434892637	9.99483602	9.433559925	9.426032234	9.747579341	8.554533792	9.846077194	9.690883424	9.640134191	8.903682598	9.698340395	8.297696656	9.932705738	9.967045647	7.984708819	8.739217934	8.723352644	7.463278496	9.105807617	9.529708975	8.501395102	9.632202453	9.617484028	8.902114688	9.996998779	9.0428581	8.971623186	9.916600564	9.245667378	8.798941665	9.233922493	8.259997776	9.856308143	9.371725783	8.526333223	10.18637598	9.419192917	9.096370472	10.13365994	9.29656207	8.601715725	11.13797376	10.24335871	9.488604797	9.297245696	8.246601813	9.093934871	9.024624783	9.267069606	9.454721667	8.480910539	10.20328613	8.726726511	10.18828613	9.511245108	8.934046375	9.204854681	9.602534539	5.997626706	6.65306276	7.672364066	7.299689417	7.349344856	6.713697897	5.455442736	7.671100976	7.36868749	6.191760018	6.479657369	5.780218766	7.386741565	7.147238299	6.637014607	6.842989369	6.064194384	7.760058423	7.233752804	6.598779529	8.639239159	6.217802799	7.393499729	7.269527075	6.049417811	7.906513325	7.745725056	6.415752362	7.732984118	7.236409232	7.265456106	7.563192379	7.054801944	7.652907444	6.813952814	6.613733902	7.37087219	7.664269999	7.02703867	5.985501648	7.664480341	7.18321449	6.880971059	7.023202946	7.635920042	8.101509521	7.722634827	7.719481449	7.600325962	6.600944801	6.979100238	6.690383637	6.363681382	7.123621423	7.659470679	7.55638449	7.646633092	6.850617205	7.660817427	6.17614581	6.391650389
200769_s_at	5.492201419	5.106271635	5.189342877	5.37476154	5.210284309	5.335828478	5.329314452	5.398719721	2.50064831	5.801551194	5.338819267	5.625358219	2.950183231	3.664174672	5.459398115	5.975150304	6.332185581	6.192911828	5.317168106	5.374693029	6.082382658	6.595516017	6.135871188	5.778540716	5.107219343	5.345397708	6.134435776	5.790029624	5.341360031	7.059119316	6.571793135	7.277562693	6.644540358	4.795178769	5.416565783	5.602388609	5.395962336	6.238358565	5.178281455	4.852333441	5.407854583	5.252882771	5.391743413	6.109436472	5.37409794	5.873255677	6.286120934	5.376139233	5.154376206	5.000554084	5.358960864	4.965699904	5.875508415	4.664784849	5.312083736	5.651056104	5.238019217	5.303192576	5.871916692	4.961310916	5.412523359	6.277327717	6.816162457	5.39252418	7.546325855	6.425581657	9.696201414	8.084531221	7.120451019	8.367262569	6.354643196	6.680537312	6.183166564	5.900277278	6.897877112	5.836440857	6.079819642	7.56173448	8.535314778	5.973703902	7.869045912	4.488966283	8.189155096	8.501924559	5.838808111	8.034822266	8.088876379	7.36636837	7.633503362	7.443933445	8.175064774	7.641304568	8.196142989	5.752735328	6.840295395	7.241068582	7.131029886	6.556300841	7.752748408	7.395101677	8.917769271	8.150210979	7.780263795	8.29940903	7.308597488	7.794504959	8.887082494	7.843488455	5.346010649	6.091211395	7.67667143	7.151661385	7.458228033	8.466383785	8.840666105	5.418327392	5.770689027	5.85943569	5.268105948	6.627903412	6.539166311	5.232111143	8.577475093	6.297068678	7.325460589
200998_s_at	11.13559709	10.4663238	9.779081221	9.892760066	8.966399966	11.2194003	10.65545283	9.392854988	9.097819222	10.4040815	10.20012857	10.81766066	9.00182294	10.13311246	9.691442152	10.82532574	10.0615687	9.850458709	10.04773155	10.73282731	9.832214481	9.427659252	10.41556243	10.42232492	9.943425276	9.546482127	8.824451091	9.848868951	8.630958239	9.356876223	10.23028449	9.690730837	9.496230408	9.753281953	9.682317809	10.06660112	9.068824709	10.02063356	9.373232328	10.30187129	10.44606485	9.992373225	10.69438166	9.240808587	9.797251499	10.853646	10.4836935	10.07837958	10.96806334	9.949478326	10.50818435	10.34111522	9.264656513	9.653220564	9.314803211	9.239376937	9.638024845	9.525042861	10.35371812	9.378871104	10.03177327	9.336169725	10.51132654	10.35618088	8.452654191	8.06270151	6.733757715	7.941445323	8.403254847	8.344021468	7.928199023	9.245684239	8.823508985	8.729199023	8.430658172	9.094698059	9.477791815	7.959189462	9.924686423	9.568695676	7.774165898	7.337991844	9.162602837	8.91776703	9.313191422	8.92397439	9.322993353	9.09186969	8.323870942	10.22280038	9.44547647	9.117662324	9.152535372	8.141216065	8.365250538	7.566129121	8.166242184	8.964721559	7.838154714	7.591849099	8.602457104	9.505822448	7.517557858	8.455795552	8.612802991	8.932506401	6.871481068	7.989525751	8.15171401	7.210733279	9.757228819	8.159228273	7.850343227	8.253440238	8.822552544	6.57514048	8.253159508	7.767105225	7.266600257	6.125215233	8.296542693	8.194467496	8.986589972	8.753345571	8.562460728
201024_x_at	12.02012716	11.26360364	11.72234015	11.38883862	11.58431313	11.59778761	11.42407261	11.90041398	11.8476997	10.9733172	11.75768465	11.11861999	11.81988273	12.0279574	11.34908732	11.50612774	10.89206327	10.77782484	11.79020412	11.61519207	10.78406796	10.78061577	10.98632792	10.41073918	10.83908628	11.61771346	10.13801414	11.31821168	11.8636484	11.11816446	11.58960583	11.13306604	11.35076477	11.50474265	11.44683408	11.17252944	11.63769591	12.00824406	11.69632057	11.75963984	11.64429482	11.56181136	11.3990735	11.58415936	11.46152076	11.32765634	11.19533845	11.93818618	11.87375981	11.38104686	11.00735853	11.61938646	11.44745524	11.28770405	11.31457488	11.33478513	11.2173451	11.54663094	11.09205644	11.53827668	11.84727243	10.79761108	11.11756967	11.22697383	9.934905606	9.666362754	10.36636507	9.954198041	9.600726232	9.976317792	9.49321047	10.61204102	10.21170132	9.556592424	10.26698108	10.22943449	9.987821561	9.618450693	9.131151316	10.77861085	9.254049996	10.37133909	9.576634874	10.07936943	10.30184551	9.410077758	9.584992277	9.559692654	8.874045581	9.634254058	9.63730253	10.22824271	10.2260817	9.692615767	9.988998649	9.352824172	9.569675941	10.38000459	9.300593032	9.980062869	9.533076297	10.09470935	10.17559026	9.815363637	9.58889024	9.924994546	9.360104123	10.47738583	10.55197614	9.333996316	10.80523491	10.19278233	10.2902832	9.68812501	9.671097694	9.823462659	10.22489018	9.778912764	10.17114503	9.99337987	9.326188707	9.976187102	9.16969227	10.27883653	10.55255416
201085_s_at	9.956433706	9.721766728	10.63935935	9.090421979	11.04771422	10.66328041	11.22818836	9.933054372	11.02416158	10.69632028	10.66854446	9.818865203	11.4210186	11.56233436	10.50089643	10.22734135	9.961539662	9.981495115	11.2769507	11.0323256	9.527781396	9.780278461	10.11110741	9.010317624	9.139928348	10.9548168	9.570255388	10.37717784	11.40978957	11.30205669	11.2816934	9.783001282	9.862635214	11.21747002	11.42880278	10.11911676	10.0757467	10.11528728	11.92122715	10.48423379	10.72963403	11.24670559	11.34300725	11.59913481	12.22882883	10.80679697	10.99467124	10.99752705	11.60313195	11.16956673	11.47688647	10.36829164	10.12746608	10.91141626	10.37806969	10.8584911	10.43099759	11.27707095	10.22971322	11.1841683	11.48743597	10.29028875	9.852996713	10.64538238	6.926456608	7.457976979	7.553344878	7.547314112	7.6356428	7.270053309	6.906981337	8.938861295	7.571722045	6.410883332	8.238640511	8.286641875	8.806033157	7.042420895	8.681966654	8.153665762	6.243503297	8.035415801	7.901999513	7.214955675	8.833401192	6.765098309	7.918332125	7.127156944	6.720190697	7.941026227	6.823757413	9.013831079	9.076579464	7.682540876	8.610330081	8.169408166	8.012884921	8.252570669	7.108550879	7.479466126	7.110337605	7.472737398	7.546512403	6.295001244	8.257150175	8.162320226	8.804367653	8.365971229	7.753329949	7.9783712	6.952948654	7.590056077	8.077535546	7.931777097	7.582142072	6.616445402	8.482142842	7.362330146	7.719007414	7.437353606	7.880211164	7.048602462	7.83341237	7.248982827	5.977631623
201130_s_at	2.566907143	2.548875976	2.555175661	2.642524461	2.709649686	2.759567347	2.620756789	2.682644254	2.669934826	2.612831837	2.571238297	2.427932794	2.707317162	2.649171069	2.790863093	6.027837521	3.034043507	2.617368176	2.467461897	2.677246484	4.723586348	3.968220794	2.593378016	2.71620707	2.580772295	2.648719447	2.647801513	2.757410959	2.632689583	4.07495109	6.363069494	3.610955666	3.386525814	2.543602176	2.695470894	2.570799469	2.67861007	2.628348465	2.541230737	2.596146839	4.12173114	2.641395478	2.704082442	5.940921517	2.645758299	2.793087084	4.740010209	2.386186908	2.707609033	2.675787761	2.619024134	2.702290299	2.695470894	2.553784104	2.522244589	2.5841339	2.511742735	2.595905232	4.328573489	2.735288672	2.760846586	2.646944869	3.003334174	2.667331481	2.709581925	3.527415086	6.185674574	7.856290855	7.777757847	6.951961203	3.209865498	5.494335063	2.547328643	2.688953299	7.29700578	2.668060484	3.143175585	3.56840376	8.34620864	7.687388725	7.224767558	2.392086398	5.045498919	6.007718959	4.190698211	7.48906092	3.961945324	6.797877252	7.57646632	2.768346743	7.932187344	7.514597291	6.628185838	2.747581165	5.125867314	8.419219716	2.528379871	2.634493619	8.443948093	4.755339654	7.816251488	2.491981489	5.147443559	6.150135441	3.612238893	5.203839834	9.355908956	3.7534318	2.534917738	2.772342829	5.96436503	3.207681937	2.756016576	7.695606784	7.175747589	2.415716692	2.556270538	2.651114086	2.634827558	3.845650405	2.606882351	2.280205668	7.756693003	2.668766065	5.185167716
201259_s_at	6.785272132	6.923812951	4.932706989	7.023551138	3.293732111	5.247374728	7.586676974	5.489015599	2.501894323	8.369163104	7.827635261	8.236104515	3.286129317	5.801866895	6.613194735	9.499490291	8.541434435	9.12938039	5.330289781	7.54703384	8.258004998	9.46702014	8.985744859	8.695657264	7.027423546	5.733436958	10.64724278	9.074235602	4.695845736	9.113799732	6.968309216	9.51537449	9.330573884	6.753561168	6.376292186	8.15298688	4.862173247	8.981013339	5.595360514	5.329985808	9.192073447	7.165375242	8.498917592	7.499944907	7.709113612	7.941220526	8.001467222	3.419420632	3.276302565	8.158824967	8.348224476	6.277318659	9.346763039	6.723374732	7.14869102	7.636096189	8.415561158	5.626016084	7.82596831	6.2488496	6.597275466	8.481843621	9.628122234	6.712214359	9.611999509	8.776175642	9.700683755	8.05084196	9.365228885	10.62180711	8.722623243	8.568604605	8.728394852	9.372119798	9.916281962	6.871830528	9.232977886	9.145304046	10.16658415	8.915264979	9.565602755	7.753850282	9.365590994	9.746735122	9.279477271	9.099237963	9.370845068	10.0530395	9.744846906	9.789214199	9.368180308	9.250834043	10.39860257	9.704820261	8.630397021	9.115216987	9.880813819	9.70025811	9.172175933	9.031598708	9.586729434	9.614993162	9.434420344	8.513003041	9.61780212	8.894627649	10.73257582	8.840516942	8.0784327	9.203438363	7.422252674	8.963244497	8.334176672	8.523708426	9.625944358	8.597817855	8.82551434	9.299858446	9.316464443	9.597842021	8.066958205	8.020252528	8.148229441	9.209445888	9.148580767
201261_x_at	12.4581806	11.90434261	11.43361161	9.830694383	10.88956952	11.11190584	12.43313526	9.764821539	9.471665207	11.9552205	11.50769454	12.00009733	11.80296704	12.60715953	11.02619843	10.62725952	10.04241604	11.86729703	11.9114366	10.9350483	10.60969496	9.577197762	11.31159889	11.65297097	11.76299021	12.10756572	10.34600737	10.96850278	11.18423948	9.937315408	11.98477172	10.15332253	11.57394155	12.12544239	11.5292124	11.74675781	11.80283723	8.422285088	11.10510764	9.956029762	10.20751681	11.79146544	12.16150641	11.36293905	11.00682225	11.72694731	11.03463067	9.352435849	12.24205015	12.89692395	11.15184617	9.236247859	12.63452309	12.10691006	11.73442376	11.18747352	12.32900083	11.22780834	11.72985569	11.35506387	11.17410187	11.07855299	11.43177912	9.571412518	7.42217437	8.953601344	8.733700154	8.411731324	7.389878627	7.768901737	10.00105292	10.87422308	9.258171088	8.803621937	9.341475533	9.796881589	9.931451261	9.301046165	8.76564053	8.394570553	8.762297977	10.65734721	9.307334341	9.873189304	10.77088208	8.648308032	8.76840929	9.704474193	9.282516028	9.470639882	10.01265134	10.17541966	10.45908121	9.576905411	8.775802056	8.371939064	8.050142348	11.09833172	9.805048468	8.359570393	8.062422414	9.772466923	10.4015291	10.659893	9.301997086	10.57227498	9.291132927	9.101621376	9.586835818	7.10162165	8.330457989	10.24187742	8.928472965	9.951947906	9.09017968	9.290985538	9.980756779	10.28975041	6.922764485	7.207388922	9.756482631	9.999264551	10.65877183	11.84728719	9.73690409
