probe	Adeno1	Adeno2	Adeno3	Adeno4	Adeno5	Adeno6	Adeno7	Adeno8	Adeno9	Adeno10	SCLC1	SCLC2	SCLC3	SCLC4	SCLC5	SCLC6	SCLC7	SCLC8	SCLC9	Normal1	Normal2	Normal3	Normal4	Normal5
1007_s_at	9.26	8.69	8.51	8.38	7.7	8.16	7.73	8.33	7.47	8.39	7.88	8.43	7.84	8.31	8.37	8.24	8.16	8.19	8.23	8.96	8.15	9.4	8.96	9.32
1053_at	5.15	4.57	5.2	4.92	4.6	5.24	4.64	5.64	5.64	5.42	5.85	5.31	6.18	5.76	5.9	5.65	5.84	5.69	5.1	4.57	4.82	5.31	4.93	4.79
121_at	7.35	7.32	7.13	7.5	7.4	7.35	7.32	7.32	7.09	7.08	7.06	7.12	7.2	7.09	7.08	7.05	7.03	7.03	7.07	7.34	6.89	7.23	7.14	7.29
1294_at	6.14	6.32	6.09	6.08	5.98	6.09	6.43	5.86	6.63	6.11	5.69	5.97	5.71	5.81	5.44	5.61	6.02	5.79	5.66	6.02	6.08	6.33	6.22	6.43
1487_at	6.45	6.13	6.64	6.54	5.93	6.51	6.09	6.36	6.47	6.22	6.16	6.24	6.12	5.85	5.83	5.69	6.13	5.91	6.28	6.43	6.36	6.12	6.23	6.27
1729_at	6.1	6.13	6.52	6.83	6.16	6.12	6.08	6.42	5.85	6.54	6.12	6.39	6.45	5.84	5.71	5.68	6.07	5.71	5.83	6.56	5.8	6.68	7.05	7.25
177_at	4.63	4.72	4.86	4.42	4.41	4.79	4.85	4.76	4.96	4.57	4.73	4.84	4.47	4.63	4.58	4.43	4.42	4.44	4.33	4.77	4.44	5.27	4.81	4.9
200003_s_at	11.71	10.72	10.99	10.67	10.82	10.69	10.89	11.13	11.26	11.1	10.83	11.06	10.74	10.47	10.57	10.43	10.48	10.54	10.48	10.77	10.59	10.95	11.05	11.45
200005_at	8.16	7.26	8.6	7.05	7.43	7.62	7.51	8.52	7.53	7.92	7.4	7.76	7.74	7.37	7.17	7.51	7.15	7.15	7.11	8.13	7.76	8.22	7.77	7.86
200016_x_at	9.95	10.24	9.71	9.58	9.35	9.52	9.74	9.59	9.96	10.1	10.27	10.46	9.88	10.24	10.12	9.84	10.03	10.47	10.46	9.98	9.62	9.59	9.71	9.96
200020_at	7.21	7.75	8.15	7.15	7.03	6.99	7.92	8.22	8.22	7.61	7.91	8.31	8.37	8.44	8.63	8.19	7.77	8.11	8.08	7.45	7.14	8.53	7.7	7.51
200021_at	10.95	10.97	10.94	10.66	10.48	10.33	10.59	10.48	10.18	10.08	10.65	10.17	10.66	10.69	11	10.31	10.09	10.64	10.52	9.21	9.17	10.54	10.24	9.83
200026_at	11.29	11.14	11.07	11.04	11.24	10.43	10.95	10.87	11.51	11.56	10.82	11.39	10.64	10.59	10.68	10.14	10.11	10.84	10.95	11.29	11.05	10.71	11.22	11.53
200036_s_at	9.81	8.76	10.03	9.84	9.45	9.46	9.49	10.15	10.09	9.85	9.58	9.99	9.83	9.59	9.12	9	9.11	9.36	9.42	9.94	9.84	9.92	9.91	10.49
200037_s_at	7.14	7.47	7.96	6.76	6.36	7.46	7.34	8.46	7.89	8.17	7.33	7.87	7.48	8.12	8.31	7.84	7.6	8.38	8.22	7.21	6.61	7	7.12	6.96
200039_s_at	8.23	7.31	8.31	8.06	8.12	8.12	7.83	8.99	8.09	8.26	9.38	8.23	9.72	9.06	8.72	8.64	8.67	8.67	7.63	7.02	6.75	9.19	8.33	7.91
200040_at	7.86	8.09	8.49	7.46	7.11	8	7.79	8.33	8.1	7.9	7.99	8.41	8.14	8.66	8.83	8.36	8.4	8.41	8.65	7.82	7.57	8.07	7.99	7.74
