"","Description","Symbol","pvalue","Pval.Test","fold","Fold.Test"
"1415670_at","coatomer protein complex, subunit gamma 1","Copg1",7.76293562935201e-13,TRUE,1.11362308038764,TRUE
"1415671_at","ATPase, H+ transporting, lysosomal V0 subunit D1","Atp6v0d1",1.71748647856188e-06,TRUE,2.01986937288056,TRUE
"1415674_a_at","trafficking protein particle complex 4","Trappc4",8.90806975268201e-06,TRUE,1.25329291812833,TRUE
"1415675_at","dolichol-phosphate (beta-D) mannosyltransferase 2","Dpm2",1.08888227758232e-08,TRUE,1.20892161456045,TRUE
"1415676_a_at","proteasome (prosome, macropain) subunit, beta type 5","Psmb5",5.08289814548795e-07,TRUE,3.43173033198432,TRUE
"1415677_at","dehydrogenase/reductase (SDR family) member 1","Dhrs1",3.58395215288229e-05,TRUE,-1.4816311543159,TRUE
"1415678_at","protein phosphatase 1A, magnesium dependent, alpha isoform","Ppm1a",9.12605898350715e-11,TRUE,-1.60941319033391,TRUE
"1415681_at","mitochondrial ribosomal protein L43","Mrpl43",1.61321343281553e-06,TRUE,4.63668224858379,TRUE
"1415683_at","N-myristoyltransferase 1","Nmt1",5.52950767306138e-12,TRUE,3.94084306712422,TRUE
"1415686_at","RAB14, member RAS oncogene family","Rab14",0.00595376552147582,TRUE,-1.44121355173767,TRUE
"1415688_at","ubiquitin-conjugating enzyme E2G 1","Ube2g1",7.87423239364308e-11,TRUE,1.47611615323157,TRUE
"1415690_at","mitochondrial ribosomal protein L27","Mrpl27",1.06412215749e-11,TRUE,2.77861122987476,TRUE
"1415691_at","discs, large homolog 1 (Drosophila)","Dlg1",3.68471929496322e-10,TRUE,-1.0661416601553,TRUE
"1415697_at","GTPase activating protein (SH3 domain) binding protein 2","G3bp2",2.07676285983556e-09,TRUE,2.77946861130159,TRUE
"1415701_x_at","ribosomal protein L23","Rpl23",3.20463555292247e-10,TRUE,2.80814406814832,TRUE
"1415705_at","small integral membrane protein 7","Smim7",1.70374227781728e-08,TRUE,3.19765655541994,TRUE
"1415707_at","anaphase promoting complex subunit 2","Anapc2",6.52602098336243e-10,TRUE,2.66107211013418,TRUE
"1415712_at","zinc finger, RAN-binding domain containing 1","Zranb1",2.32654653236955e-09,TRUE,-1.26304330795092,TRUE
"1415713_a_at","DEAD (Asp-Glu-Ala-Asp) box polypeptide 24","Ddx24",1.81968683300075e-06,TRUE,1.71051482455636,TRUE
"1415716_a_at","predicted gene 9846///ribosomal protein S27","Gm9846///Rps27",7.72120258416784e-08,TRUE,4.60649114905166,TRUE
"1415720_s_at","MAD2L1 binding protein","Mad2l1bp",7.50524380305728e-07,TRUE,-1.08200074763745,TRUE
"1415725_at","RRN3 RNA polymerase I transcription factor homolog (yeast)","Rrn3",1.07726121772429e-07,TRUE,1.26734511546796,TRUE
"1415727_at","apolipoprotein A-I binding protein","Apoa1bp",5.67947448484972e-12,TRUE,2.71939857225612,TRUE
"1415731_at","angel homolog 2 (Drosophila)","Angel2",4.24367410366392e-10,TRUE,-1.27763405790536,TRUE
"1415735_at","damage specific DNA binding protein 1","Ddb1",7.27216963616195e-09,TRUE,-1.08468386880798,TRUE
"1415738_at","thioredoxin domain containing 12 (endoplasmic reticulum)","Txndc12",1.56551805181551e-12,TRUE,3.29048001972029,TRUE
"1415739_at","RNA binding motif protein 42","Rbm42",7.65508811921282e-11,TRUE,1.58345631631999,TRUE
"1415740_at","protease (prosome, macropain) 26S subunit, ATPase 5","Psmc5",2.54345122917844e-06,TRUE,2.32898573927973,TRUE
"1415741_at","transmembrane protein 165","Tmem165",4.92841065926583e-06,TRUE,1.43541507254003,TRUE
"1415742_at","ancient ubiquitous protein 1","Aup1",0.000117136742735491,TRUE,1.80287003564752,TRUE
"1415744_at","H2-K region expressed gene 2","H2-Ke2",1.00174439099259e-10,TRUE,4.30951692181334,TRUE
"1415748_a_at","dynactin 5","Dctn5",5.10130647642309e-08,TRUE,1.87802412392811,TRUE
"1415750_at","transducin (beta)-like 3","Tbl3",4.14133184682071e-07,TRUE,1.46850249468235,TRUE
"1415752_at","cDNA sequence BC031181","BC031181",1.6015608936098e-07,TRUE,2.08684891568042,TRUE
"1415753_at","abhydrolase domain containing 17A","Abhd17a",1.11423719901243e-07,TRUE,1.20230303163325,TRUE
"1415755_a_at","ubiquitin-conjugating enzyme E2 variant 1","Ube2v1",2.59170276452969e-06,TRUE,3.19552114522604,TRUE
"1415757_at","golgi-specific brefeldin A-resistance factor 1","Gbf1",0.00395034698155738,TRUE,-1.12851432627873,TRUE
"1415759_a_at","late endosomal/lysosomal adaptor, MAPK and MTOR activator 5","Lamtor5",1.78647287634533e-09,TRUE,3.27776344642857,TRUE
"1415760_s_at","ATX1 (antioxidant protein 1) homolog 1 (yeast)","Atox1",1.82002772062713e-06,TRUE,1.07923489271691,TRUE
"1415761_at","mitochondrial ribosomal protein L52","Mrpl52",1.98921029580319e-07,TRUE,3.0624938164921,TRUE
"1415762_x_at","mitochondrial ribosomal protein L52","Mrpl52",4.63184505814874e-10,TRUE,2.42934045436648,TRUE
"1415768_a_at","ubiquitin-conjugating enzyme E2R 2","Ube2r2",3.80016875379787e-07,TRUE,-1.2464671014156,TRUE
"1415771_at","nucleolin","Ncl",1.31874556464467e-07,TRUE,2.98746530311299,TRUE
"1415774_at","elongator acetyltransferase complex subunit 2","Elp2",5.84903321439043e-08,TRUE,5.06565089063898,TRUE
"1415779_s_at","actin, gamma, cytoplasmic 1","Actg1",1.03911004582399e-09,TRUE,1.92791532534299,TRUE
"1415780_a_at","armadillo repeat containing, X-linked 2","Armcx2",0.0351324692047096,TRUE,1.29171965162974,TRUE
"1415787_at","alpha glucosidase 2 alpha neutral subunit","Ganab",1.43159721791834e-06,TRUE,1.0718275536369,TRUE
"1415788_at","ubiquitin-like domain containing CTD phosphatase 1","Ublcp1",2.21470491831396e-06,TRUE,1.20895735721517,TRUE
